3422 3828 4628 136 2448 2617 2983 2727 2870 3951 2762 2433 1197 1498 2699 891 2690 4946 335 814
3411 2965 3097 3104 4977 2762 1942 2975 4365 982 630 1396 1929 3960 1867 1690 2028 279 434 3518
3413 3727 338 164 2947 4427 4481 4540 1716 3406 1118 4800 1953 40 3902 1164 3001 3145 1698 4369
4601 329 638 4457 2443 2443 4050 4942 1032 1769 1459 539 2812 149 4558 4147 3696 2983 2443 4204
2686 2787 1313 2791 4986 2232 4773 2056 3716 836 3880 4441 3947 3615 3929 522 419 969 2818 3208
4714 2992 3815 1277 1070 3506 3029 2364 545 2754 2132 2564 3618 4224 3162 2690 4344 1130 3458 4515
2086 4224 3320 2947 3317 4578 1427 2603 2700 2082 1842 2566 2079 4388 668 3029 1312 4269 4728 4318
4714 3159 922 3877 617 4303 2457 990 1011 1625 4761 1800 333 2140 439 1701 4467 4862 2306 3407
4452 1873 360 1620 775 525 3705 1287 2953 1034 2589 2419 769 2736 4118 2132 2026 2934 2787 2861
2755 737 3766 1733 3680 3971 3101 2295 2123 614 4297 4152 4162 2310 27 4302 1849 489 2740 617
3290 4481 4553 2965 2588 3215 1878 3860 1539 674 1269 2960 878 2448 1090 4708 2988 4346 2388 2993
3051 1943 4197 1620 4391 2832 2543 3641 2564 4647 4647 901 1326 1634 2708 3514 2256 293 2415 4185
2330 2925 2760 2947 4019 2645 1471 2742 1683 3145 4958 3295 2097 2132 1909 579 3826 3699 3922 4665
3145 4688 3617 3559 890 691 4583 2205 3221 4304 1943 4622 4025 2737 3500 3825 2719 3930 2186 3971
2610 4649 2403 340 2086 2123 1953 4761 2975 72 2646 735 4821 605 2119 4108 2360 3427 4113 2975
1188 3458 2737 3703 2097 48 4785 657 334 4714 2511 321 3487 2443 4257 3884 4251 2149 2210 3369
2762 2026 3089 3402 1887 2830 4814 2931 3618 4755 1122 3894 2330 3944 927 1050 4043 1248 3277 4769
4277 706 4927 67 963 2134 1487 2658 2292 3930 3618 3270 1733 937 2782 979 4212 4506 314 3629
2338 2742 1736 2193 1078 1025 2553 1033 1367 1701 4850 149 4786 887 1269 1038 2443 1599 3003 540
1056 2782 2295 3014 1907 3386 1545 4414 814 4922 4788 2054 3511 3019 1608 1668 1784 4598 2388 802
2589 430 275 2366 1124 177 2851 2538 262 4481 1788 1590 1673 34 1853 1073 27 779 340 1134
466 2205 1077 4561 2999 4714 967 2088 4435 481 1733 3620 3117 1228 798 2466 3485 1197 2497 3365
